TSNE1,TSNE2,class
-1.4736903,-3.0272598,stonehenge
-13.827797,-1.3700424,stonehenge
-4.0921826,-2.9719026,stonehenge
-16.490778,-1.9662528,stonehenge
22.18857,1.2636429,stonehenge
-13.027195,-2.2058291,stonehenge
-15.515072,-0.6292998,stonehenge
-11.616175,-2.152282,stonehenge
-22.923365,0.78135103,stonehenge
-41.869053,2.568989,stonehenge
-14.157457,-1.4019777,stonehenge
-41.916622,3.0875835,stonehenge
-29.812351,1.2577513,stonehenge
-30.746231,1.8700899,stonehenge
9.280697,-1.1508907,stonehenge
-1.0675443,-1.4482594,stonehenge
34.315205,1.6468225,stonehenge
-24.897148,0.79156494,stonehenge
34.996925,2.9748921,stonehenge
-12.094072,-1.419051,stonehenge
-34.354084,2.1555662,stonehenge
-10.464767,-1.4619426,stonehenge
9.063932,-2.1302664,stonehenge
34.93915,3.303296,stonehenge
-22.707499,0.34010267,stonehenge
6.4736147,-2.2600756,stonehenge
-16.315933,-0.012025439,stonehenge
24.299805,-1.9303819,stonehenge
-22.337873,0.07592458,stonehenge
22.100554,0.7136059,stonehenge
-2.093034,-3.0461977,stonehenge
11.553746,-1.1903536,stonehenge
-8.681136,-1.0329176,stonehenge
12.934108,-1.2038039,stonehenge
-0.73614293,-3.0140529,stonehenge
-2.3199165,-2.865624,stonehenge
19.332739,-0.18292065,stonehenge
-2.1608136,-3.6358738,stonehenge
4.731775,-2.0442967,stonehenge
-15.511148,-0.60034454,stonehenge
-24.531048,0.90816855,stonehenge
-27.641253,0.70319736,stonehenge
6.5017953,-1.7426506,stonehenge
-11.284742,-2.578869,stonehenge
36.123493,3.3451467,stonehenge
35.22041,2.675396,stonehenge
27.777824,2.2288089,stonehenge
-37.286114,2.9560902,stonehenge
-14.845914,-0.9013617,stonehenge
16.253294,1.7443749,stonehenge
33.453648,2.5349343,stonehenge
34.68009,2.5957222,stonehenge
22.253094,1.474003,stonehenge
-1.0278852,-3.156893,stonehenge
-34.20777,2.4123197,stonehenge
17.881819,-0.9562213,stonehenge
34.800426,3.0206325,stonehenge
30.514687,0.7754824,stonehenge
8.141481,-1.075981,stonehenge
-19.86552,0.50762826,stonehenge
-6.374183,-2.391576,stonehenge
24.14058,1.9073786,stonehenge
31.121592,1.41415,stonehenge
-7.744373,-4.4113116,stonehenge
15.60721,-1.0809411,stonehenge
22.612236,0.6398652,stonehenge
8.481282,-2.0271683,stonehenge
12.605967,-1.026016,stonehenge
-24.38443,0.8006573,stonehenge
-34.914055,2.9115832,stonehenge
22.622961,1.2752411,stonehenge
-35.28692,2.9730492,stonehenge
29.775864,1.2915875,stonehenge
40.01682,3.127501,chichen_itza
-15.509484,-1.6660398,chichen_itza
-3.1512275,-3.3663542,chichen_itza
40.699444,3.2067215,chichen_itza
21.679474,-0.26135707,chichen_itza
36.91235,2.9998257,chichen_itza
-1.2675648,-2.8243694,chichen_itza
24.475662,-0.43396503,chichen_itza
17.9854,0.36969513,chichen_itza
35.645123,2.7042823,chichen_itza
39.81273,2.5952506,chichen_itza
-12.268438,-1.6181151,chichen_itza
7.437535,-1.2465314,chichen_itza
21.493477,0.8475981,chichen_itza
11.812488,-1.0915388,chichen_itza
9.280162,-1.5695789,chichen_itza
26.770945,1.7261959,chichen_itza
-15.952496,-1.4936339,chichen_itza
41.58121,3.5856228,chichen_itza
34.683174,2.0498884,chichen_itza
-8.325247,-2.6215324,chichen_itza
-0.20607193,-1.4969263,chichen_itza
-4.077297,-3.1585362,chichen_itza
18.093214,1.0255476,chichen_itza
42.48652,3.499421,chichen_itza
29.891441,-0.03844774,chichen_itza
31.225677,2.3999083,chichen_itza
22.554262,-1.4376038,chichen_itza
18.48614,-0.34083414,chichen_itza
29.500814,2.3331997,chichen_itza
9.875248,-2.0116405,chichen_itza
14.928329,-0.73789304,chichen_itza
33.494606,1.9674197,chichen_itza
9.846649,-1.1801041,chichen_itza
30.278708,1.9480335,chichen_itza
-2.8763154,-3.3713806,chichen_itza
23.433767,2.075056,chichen_itza
20.286942,0.4212451,chichen_itza
27.308361,1.4724281,chichen_itza
42.19808,3.5873668,chichen_itza
32.514183,2.176276,chichen_itza
5.48161,-1.2929505,chichen_itza
39.301125,3.082147,chichen_itza
37.37702,2.31319,chichen_itza
28.21084,1.7216858,chichen_itza
41.258068,2.931268,chichen_itza
-0.63722247,-2.3013184,chichen_itza
37.21042,2.9825156,chichen_itza
29.072977,2.1183417,chichen_itza
34.098625,2.8012235,chichen_itza
-30.287464,1.4808334,chichen_itza
4.4240813,-2.7063346,chichen_itza
10.018087,-1.7361169,chichen_itza
23.018347,2.374482,chichen_itza
22.037153,-0.3586626,chichen_itza
31.606997,2.0950353,chichen_itza
18.214388,-0.16597918,chichen_itza
16.187529,0.2580877,chichen_itza
24.635017,1.4608967,chichen_itza
36.98431,1.1740774,chichen_itza
13.211091,-0.5408244,chichen_itza
31.022812,0.3603533,chichen_itza
-0.3068279,-2.9051628,chichen_itza
6.0654716,-1.7316197,chichen_itza
5.021047,-2.344839,chichen_itza
-1.0640523,-1.321167,chichen_itza
-13.055525,-1.0838313,chichen_itza
17.402277,-0.25533417,chichen_itza
22.93646,1.2642578,chichen_itza
-2.3424847,-2.394729,chichen_itza
25.844673,1.7968457,chichen_itza
4.1718264,-1.7535629,chichen_itza
35.890167,2.3161604,chichen_itza
10.726844,-1.0362842,chichen_itza
38.009254,2.595349,chichen_itza
-8.669458,-1.838232,chichen_itza
25.783344,1.2191602,chichen_itza
22.751299,1.9306883,chichen_itza
7.890307,-1.7495512,chichen_itza
27.791904,1.7951204,chichen_itza
39.257584,2.427046,chichen_itza
12.314882,-1.0324209,chichen_itza
29.876863,2.5607338,chichen_itza
-12.574466,-1.1362717,chichen_itza
10.505537,-1.3759412,chichen_itza
23.977474,0.72474784,chichen_itza
20.914495,0.8101696,chichen_itza
0.9110532,-2.5477657,chichen_itza
39.75084,3.1952746,chichen_itza
9.206872,1.5770416,chichen_itza
16.128574,-0.22238246,chichen_itza
22.755165,-1.6188934,chichen_itza
-15.773344,0.19906145,chichen_itza
-3.3890388,-3.5833633,chichen_itza
41.816166,3.130774,chichen_itza
-5.0051675,-2.923011,chichen_itza
-16.053675,0.046042517,chichen_itza
26.528578,1.7780821,chichen_itza
-2.3399906,-3.0117724,chichen_itza
18.991837,-0.094433635,chichen_itza
